"rank","player","age","position","team","games","mins_played","rebounds_defensive","pts"
282,"Alex Caruso",31,"SG","OKC",39,712,4,12.6
283,"Pat Spencer",29,"PG","GSW",43,710,3.2,13.7
285,"Christian Braun",24,"SG","DEN",23,700,3.5,11.9
286,"Micah Peavy",24,"SG","NOP",46,693,2.8,10.4
287,"Jalen Pickett",26,"SG","DEN",39,688,4.4,11.1
288,"De'Anthony Melton",27,"PG","GSW",31,688,3.8,20.6
289,"Derrick Jones Jr.",28,"SF","LAC",26,682,2.5,14.7
290,"Goga Bitadze",26,"C","ORL",43,681,6.7,13.2
292,"Jonas Valančiūnas",33,"C","DEN",47,675,9,22.5
293,"Robert Williams",28,"C","POR",41,670,9.8,14.2
295,"Kenrich Williams",31,"PF","OKC",40,651,5.2,15.4
297,"Johnny Furphy",21,"SG","IND",35,643,6.8,10.1
298,"Karlo Matković",24,"PF","NOP",47,642,6.4,13.9
299,"Aaron Gordon",30,"PF","DEN",23,642,6.3,22.8
300,"Tyler Kolek",24,"PG","NYK",49,639,4.2,13.4
303,"Anthony Davis",32,"PF","DAL",20,626,9.1,23.4
304,"Jakob Poeltl",30,"C","TOR",25,621,6.8,13.7
305,"Clint Capela",31,"C","HOU",52,616,7.2,10.8
306,"Dylan Cardwell",24,"C","SAC",29,616,7.7,9.1
307,"Tre Mann",24,"PG","CHO",39,613,4.1,15.7
308,"Justin Edwards",22,"SF","PHI",44,608,2.7,12
309,"Jabari Walker",23,"PF","PHI",50,596,5.7,10.8
310,"Josh Green",25,"SG","CHO",36,594,2.4,10.8
313,"Trendon Watford",25,"PF","PHI",36,575,5.8,13.6
314,"Paul Reed",26,"C","DET",42,570,6.7,18.4
315,"Tidjane Salaün",20,"PF","CHO",35,570,7.8,14
316,"Ja Morant",26,"PG","MEM",20,569,3.6,24.6
317,"Domantas Sabonis",29,"C","SAC",19,564,9.7,19.2
318,"Dwight Powell",34,"C","DAL",42,563,5.9,7.4
319,"Kasparas Jakučionis",19,"PG","MIA",33,561,3.8,11.8
320,"Gary Harris",31,"SG","MIL",39,559,2.6,6.2
321,"Jamir Watkins",24,"SG","WAS",30,559,5,11.1
322,"Kevin Love",37,"PF","UTA",32,550,9.1,14.3
323,"Jalen Wilson",25,"PF","BRK",38,541,3.5,13.6
324,"Julian Strawther",23,"SG","DEN",36,540,4.5,17.1
325,"Micah Potter",27,"C","IND",27,533,6.3,16.3
327,"Noah Penda",21,"SF","ORL",40,530,5.8,12.5
329,"Cole Anthony",25,"PG","MIL",35,527,4.9,16
330,"Quenton Jackson",27,"PG","IND",30,518,3.2,19.2
331,"Zeke Nnaji",25,"PF","DEN",41,516,5.9,11.6
332,"Jamaree Bouyea",26,"PG","PHO",33,512,3.4,15
334,"Jonathan Isaac",28,"PF","ORL",49,506,6.2,9.3
335,"Jordan Hawkins",23,"SG","NOP",38,504,3.4,11.1
336,"Olivier-Maxence Prosper",23,"PF","MEM",33,499,4.8,17.1
337,"D'Angelo Russell",29,"PG","DAL",26,495,3.9,19.2
338,"Dalton Knecht",24,"SF","LAL",44,494,3.9,14.3
339,"Jase Richardson",20,"SG","ORL",42,491,2.5,14.8
340,"Aaron Holiday",29,"PG","HOU",37,491,2,15.7
344,"Drew Eubanks",28,"C","SAC",36,475,5.1,13.7
345,"Tristan Vukcevic",22,"C","WAS",37,470,6.1,22.3
346,"Keaton Wallace",26,"PG","ATL",43,468,3.5,12.2
347,"Tyler Herro",26,"SG","MIA",15,453,4.8,25.3
348,"Carter Bryant",20,"PF","SAS",48,448,6.1,12.9
349,"Asa Newell",20,"PF","ATL",40,445,3.6,16.3
350,"Thomas Bryant",28,"C","CLE",42,442,6.9,18.1
354,"Jett Howard",22,"SF","ORL",38,426,3.6,15.4
356,"Tyrese Proctor",21,"PG","CLE",41,417,3.2,17
357,"Tony Bradley",28,"C","IND",38,416,4.4,13.1
358,"Javon Small",23,"PG","MEM",24,404,4,16.3
359,"Dorian Finney-Smith",32,"PF","HOU",24,392,3.6,6.8
361,"Bogdan Bogdanović",33,"SG","LAC",18,389,4.3,12.8
363,"Cam Christie",20,"SG","LAC",39,387,4.6,12.1
364,"Ben Saraf",19,"SG","BRK",22,384,2.7,10.5
365,"Ariel Hukporti",23,"C","NYK",41,379,7.6,8
366,"Ethan Thompson",26,"SG","IND",23,379,2.9,10.6
367,"Branden Carlson",26,"C","OKC",35,376,6.5,16.3
368,"Yanic Konan Niederhäuser",22,"C","LAC",38,374,6.2,14.6
371,"Moussa Cisse",23,"C","DAL",31,366,8,11.1
372,"Anthony Gill",33,"PF","WAS",33,365,4.7,11.2
373,"Grant Williams",27,"PF","CHO",18,363,5.2,13.4
375,"Jamison Battle",24,"SF","TOR",42,354,4.5,13.1
376,"Cam Whitmore",21,"SF","WAS",21,354,4,19.6
377,"Maxi Kleber",34,"PF","LAL",32,347,3.6,6.8
378,"Kam Jones",23,"SG","IND",23,346,2.5,9.5
